1,-4.2746e-15
1.01,2.2494
1.02,4.5638
1.03,6.9797
1.04,9.5441
1.05,12.319
1.06,15.391
1.07,18.88
1.08,22.959
1.09,27.877
1.1,34.008
1.11,41.912
1.12,52.455
1.13,67.012
1.14,87.84
1.15,118.77
1.16,166.53
1.17,243.22
1.18,371.1
1.19,591.96
1.2,986.45
1.21,1715.3
1.22,3110.1
1.23,5880
1.24,11598
1.25,23893
1.26,51478
1.27,1.1619e+05
1.28,2.7519e+05
1.29,6.853e+05
1.3,1.7978e+06
1.31,4.9786e+06
1.32,1.4583e+07
1.33,4.5274e+07
1.34,1.4929e+08
1.35,5.2397e+08
1.36,1.9615e+09
1.37,7.8491e+09
1.38,3.3646e+10
1.39,1.5484e+11
1.4,7.6666e+11
