1,-2.1584e-14
1.01,4.7945
1.02,10.202
1.03,16.778
1.04,25.339
1.05,37.162
1.06,54.35
1.07,80.485
1.08,121.92
1.09,190.4
1.1,308.71
1.11,522.6
1.12,926.97
1.13,1725.6
1.14,3374.7
1.15,6941.9
1.16,15044
1.17,34412
1.18,83250
1.19,2.1344e+05
1.2,5.8119e+05
1.21,1.6843e+06
1.22,5.2063e+06
1.23,1.7201e+07
1.24,6.0876e+07
1.25,2.3128e+08
1.26,9.4527e+08
1.27,4.1655e+09
1.28,1.9834e+10
1.29,1.0227e+11
1.3,5.7234e+11
1.31,3.484e+12
1.32,2.3121e+13
1.33,1.6765e+14
1.34,1.3313e+15
1.35,1.1605e+16
1.36,1.1129e+17
1.37,1.177e+18
1.38,1.376e+19
1.39,1.7822e+20
1.4,2.5638e+21
