1,-4.8448e-15
1.01,3.3909
1.02,7.0688
1.03,11.255
1.04,16.254
1.05,22.511
1.06,30.702
1.07,41.885
1.08,57.772
1.09,81.223
1.1,117.18
1.11,174.5
1.12,269.54
1.13,433.37
1.14,726.7
1.15,1272.1
1.16,2326.8
1.17,4451
1.18,8917.9
1.19,18746
1.2,41420
1.21,96397
1.22,2.368e+05
1.23,6.154e+05
1.24,1.6957e+06
1.25,4.9654e+06
1.26,1.5488e+07
1.27,5.1582e+07
1.28,1.8386e+08
1.29,7.0311e+08
1.3,2.8915e+09
1.31,1.282e+10
1.32,6.1426e+10
1.33,3.1887e+11
1.34,1.7979e+12
1.35,1.1038e+13
1.36,7.3978e+13
1.37,5.4265e+14
1.38,4.3679e+15
1.39,3.8681e+16
1.4,3.7786e+17
