1,7.7039e-16
1.01,0.48552
1.02,0.97097
1.03,1.4591
1.04,1.9527
1.05,2.4543
1.06,2.9663
1.07,3.4913
1.08,4.0316
1.09,4.5895
1.1,5.1675
1.11,5.7677
1.12,6.3927
1.13,7.0448
1.14,7.7265
1.15,8.4407
1.16,9.19
1.17,9.9777
1.18,10.807
1.19,11.682
1.2,12.606
1.21,13.584
1.22,14.621
1.23,15.723
1.24,16.897
1.25,18.149
1.26,19.489
1.27,20.925
1.28,22.469
1.29,24.134
1.3,25.934
1.31,27.886
1.32,30.008
1.33,32.324
1.34,34.86
1.35,37.644
1.36,40.714
1.37,44.109
1.38,47.878
1.39,52.077
1.4,56.772
1.41,62.042
1.42,67.979
1.43,74.693
1.44,82.316
1.45,91.004
1.46,100.94
1.47,112.36
